sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),PC1,PC2,tSNE1,tSNE2,true_label
5.7,2.9,4.2,1.3,0.22771686553470066,-0.3849200809873541,-6.548647,-3.9034493,1
6.2,2.9,4.3,1.3,0.5763882886534792,-0.15487359721655886,-7.857281,-5.5120225,1
5.1,2.5,3.0,1.1,-0.44766701902861067,-1.5437920343977565,-3.0152323,-3.8447142,1
5.7,2.8,4.1,1.3,0.2567305888875854,-0.5988517961556697,-5.9250317,-3.9917302,1
6.3,3.3,6.0,2.5,1.8445688677230299,0.8704213123248229,-14.534717,-7.6908197,2
5.8,2.7,5.1,1.9,1.157881613205781,-0.698869862330691,-9.404221,-3.0624301,2
7.1,3.0,5.9,2.1,2.205266791075379,0.5620104770083555,-15.019741,-5.1452703,2
6.3,2.9,5.6,1.8,1.4401506638275405,-0.046987588105806936,-11.604331,-4.9885454,2
6.5,3.0,5.8,2.2,1.8678122203305385,0.29504482445701946,-13.418297,-5.58267,2
7.6,3.0,6.6,2.1,2.7518733356662777,0.8004092010275421,-16.106277,-4.550902,2
4.9,2.5,4.5,1.7,0.3670176878607259,-1.5615028914765068,-3.7375455,-2.8731105,2
7.3,2.9,6.3,1.8,2.3024394446251977,0.4200655796427763,-15.501089,-4.3329053,2
6.7,2.5,5.8,1.8,2.006686467676607,-0.7114386535471595,-11.695853,-3.2916803,2
7.2,3.6,6.1,2.5,2.2597773490125004,1.921010376459887,-16.113499,-7.157155,2
6.5,3.2,5.1,2.0,1.3641754921860083,0.692756454490387,-13.181905,-6.703342,2
6.4,2.7,5.3,1.9,1.6026786704779317,-0.42170044977261756,-11.118692,-3.9955325,2
6.8,3.0,5.5,2.1,1.8839007017032434,0.4192496506051234,-13.953516,-5.511978,2
5.7,2.5,5.0,2.0,1.2601150991975092,-1.1622604214064645,-9.106201,-2.515451,2
5.8,2.8,5.1,2.4,1.4676452010173253,-0.4422715873770831,-10.196881,-2.5819266,2
6.4,3.2,5.3,2.3,1.5900773176145666,0.67624480572332,-13.881846,-7.058018,2
6.5,3.0,5.5,1.8,1.471431461133319,0.2556218244714703,-12.301099,-5.8152356,2
7.7,3.8,6.7,2.2,2.4263289873157006,2.556661250795493,-16.68596,-7.029348,2
7.7,2.6,6.9,2.3,3.310695583933889,0.017780949320626623,-16.28009,-3.7835064,2
6.0,2.2,5.0,1.5,1.2637666736398299,-1.7067453803762687,-4.587057,-6.7332644,2
6.9,3.2,5.7,2.3,2.0377163014694055,0.9104674096183109,-14.913196,-6.34389,2
5.6,2.8,4.9,2.0,0.9779807342494228,-0.5717643248129924,-9.448115,-2.7754705,2
7.7,2.8,6.7,2.0,2.89765149073417,0.4136410595956475,-16.126593,-4.051337,2
6.3,2.7,4.9,1.8,1.33323217597321,-0.48181121864942966,-10.104961,-4.015312,2
6.7,3.3,5.7,2.1,1.7007338974912176,1.0139218673227914,-14.48896,-6.8933916,2
7.2,3.2,6.0,1.8,1.9543267058530716,1.0077775961534525,-15.470575,-5.340716,2
6.2,2.8,4.8,1.8,1.1751036315549335,-0.31639447230979134,-9.814016,-4.263911,2
6.1,3.0,4.9,1.8,1.0209505506957919,0.0643460292395616,-10.24468,-5.0758348,2
6.4,2.8,5.6,2.1,1.7883499201796669,-0.18736121459082922,-12.196649,-4.415762,2
7.2,3.0,5.8,1.6,1.8636475533282617,0.5622907258861446,-15.050588,-4.49219,2
7.4,2.8,6.1,1.9,2.4359537279227044,0.2592844331442802,-15.663445,-4.126854,2
7.9,3.8,6.4,2.0,2.3049277218317643,2.6263234682323793,-16.74694,-6.9995937,2
6.4,2.8,5.6,2.2,1.862703219794957,-0.17854949462549083,-12.408738,-4.408612,2
6.3,2.8,5.1,1.5,1.1141477406864755,-0.2929226233357317,-8.93572,-5.493332,2
6.1,2.6,5.6,1.4,1.2024733016783922,-0.8113152708396694,-6.829149,-6.406137,2
7.7,3.0,6.1,2.3,2.7987704475781086,0.8568033294971055,-16.248476,-4.674174,2
6.3,3.4,5.6,2.4,1.5762559101947546,1.0685811073208074,-14.4035,-7.793714,2
6.4,3.1,5.5,1.8,1.3462921036270625,0.4224306108525082,-12.326345,-6.1288667,2
6.0,3.0,4.8,1.8,0.92482491654242,0.017223100452283896,-9.970478,-4.9843793,2
6.9,3.1,5.4,2.1,1.8520450517676708,0.6761281744365215,-14.410522,-5.7696857,2
6.7,3.1,5.6,2.4,2.0148104299548764,0.6138856369235748,-14.273142,-6.365708,2
6.9,3.1,5.1,2.3,1.90178409026219,0.6895754942430027,-14.413867,-6.011177,2
5.8,2.7,5.1,1.9,1.157881613205781,-0.698869862330691,-9.404221,-3.0624301,2
6.8,3.2,5.9,2.3,2.0405582280520935,0.8675206009552283,-14.831743,-6.509169,2
6.7,3.3,5.7,2.5,1.9981470959523768,1.0491687471841449,-14.89214,-7.1516976,2
6.7,3.0,5.2,2.3,1.8705032929564116,0.3869660816657254,-13.83382,-5.847079,2
6.3,2.5,5.0,1.9,1.5645804830303294,-0.8966868088965267,-6.9994316,-7.0423074,2
6.5,3.0,5.2,2.0,1.5211704996278386,0.2690691442779515,-12.770849,-5.7466,2
6.2,3.4,5.4,2.3,1.3727877895140734,1.0112544185267927,-14.140002,-7.8686776,2
5.9,3.0,5.1,1.8,0.9606560300371286,-0.02433166816939971,-10.02691,-4.8748255,2
